bigram,count,PMI
per cent,5,16.993503911216305
pauvre mère,6,16.57846641193746
hair's breadth,5,16.478930738386545
roi prusse,6,16.34142721463661
duc d'enghien,5,16.34142721463661
cyril vladímirovich,10,16.215896332552752
vice versa,5,16.100419115132816
archduke ferdinand,6,15.878026693796366
schön grabern,14,15.800858833273907
sergéy kuzmích,13,15.787053033748878
pelagéya danílovna,8,15.478930738386545
nastásya ivánovna,7,15.478930738386545
anísya fëdorovna,9,15.363453520966608
liza merkalova,11,15.34142721463661
lizaveta petrovna,23,15.21589633255275
agraféna ivánovna,5,15.21589633255275
boom boom,5,15.203923690886676
native tribes,14,15.148782136694214
mávra kuzmínichna,24,15.100419115132816
dowager empress,6,15.100419115132816
