character,degree,weighted_degree,betweenness,mentions
Pierre,201,675,0.1232337974236131,1125
Prince Andrew,134,560,0.0563425342230625,633
Nicholas Rostóv,121,491,0.06921244247779734,478
Mary Hendríkhovna,84,410,0.0348639082337153,451
Kutúzov,125,338,0.06119079195803435,377
Rostóv,98,253,0.05143375439515054,294
Sónya,57,242,0.027424695359527494,267
Andrew Bolkónski,69,227,0.02325041586198161,176
Denísov,57,189,0.026082572529752095,246
Borís Drubetskóy,70,187,0.03093657081677236,156
Dólokhov,47,151,0.018336733753941497,193
Mademoiselle Bourienne,35,128,0.00963903588684359,92
Pétya Rostóv,43,124,0.012864346942987914,149
Anna Pávlovna,42,97,0.014920252909830387,110
Anna Mikháylovna,37,94,0.013665913449322626,89
Bennigsen,46,92,0.013042705294069108,47
Vasíli Dmítrich,38,80,0.009747859569129639,59
Bonaparte,52,69,0.028156032124019452,43
Alexander,54,68,0.03515016275663958,58
Berg,32,66,0.012838465338781,70
Pfuel,25,66,0.002291774068704242,23
Bezúkhov,34,65,0.012907813681208625,42
Petersburg Prince Andrew,35,64,0.011396006111295274,42
Julie Karágina,27,61,0.00864025444407381,49
Speránski,26,61,0.00653361363440832,40
Bilíbin,38,58,0.011352687134484545,56
Arakchéev,36,56,0.01630502175929544,36
Prince Andrew’s,26,53,0.006676537666529009,39
Márya Dmítrievna,22,51,0.008026254250264346,69
Dolgorúkov,26,46,0.016527154665524735,34
Bolkónski,24,45,0.007094763557904133,37
Ilyá Rostóv,29,41,0.011198020492964983,25
Wolzogen,20,41,0.0025640628249210466,16
Countess Mary,16,40,0.0013990243046567321,37
Drissa,17,36,0.00357091206909403,18
Mamma,18,35,0.0029388945267807163,50
Hélène,20,35,0.0071557664066793075,35
Lise,15,34,0.001791874251802058,25
Prince Vasíli,19,33,0.003717692158286911,19
Dokhtúrov,23,33,0.01103454226746421,15
Armfeldt,17,32,0.00041959994051468506,6
Anatole Kurágin,22,32,0.004890750257856057,14
Ilyín,12,32,0.0015901587122494883,29
Uncle,19,31,0.006331544574257263,24
Borodinó,24,31,0.01649416339417883,31
Paulucci,18,30,0.0017675727419553273,8
Michael Ivánovich,19,30,0.009158699731810369,28
Michaud,17,27,0.0038695109100595846,15
Stein,16,25,0.0007024308267046031,4
Véra,10,25,0.001565262713068939,21
wolf,12,25,0.004234423865793992,15
Francis,19,25,0.0038512838049840244,11
Anna Pávlovna’s,16,24,0.002636575716344038,19
Tsar,17,24,0.007626340309030405,34
Wintzingerode,17,24,0.0010693325037695917,7
Joseph Alexéevich,16,23,0.00541857926119161,12
Konovnítsyn,12,21,0.002937507643181288,17
Chernýshev,12,21,0.000478035555195708,5
Anna Mikháylovna’s,13,21,0.0021642323776855134,8
Catherine Petróvna,18,21,0.008778085387883596,13
Platón Karatáev,8,21,0.0015483040954089003,22
Paul,17,21,0.004797047438500861,6
Raévski,17,21,0.005980202254977871,15
Magnítski,11,20,0.0014593921816618133,8
Nesvítski,13,19,0.005316844390434927,38
Bagratión,15,19,0.003654504876195225,12
Mademoiselle Bourienne’s,8,19,0.0011475553494406708,12
Kurágin,14,19,0.007240924283397875,13
Prince Bolkónski,12,19,0.0023251079518879754,18
Buonaparte,18,19,0.008914463519123754,16
Princess Mary,10,19,0.00010651414202905759,43
Peter Kirílych,12,18,0.0013327608582420485,16
Kaysárov,12,18,0.002218662101444445,7
Nicholas Bolkónski,14,18,0.0024120828666999135,15
Dron,10,18,0.0031328231142021975,40
mon cher,17,18,0.00971484400525165,13
Thou,15,17,0.01176370326604478,7
Karáy,7,16,0.0002005418389657516,9
Bezúkhova,14,16,0.002920018035302757,12
God,15,16,0.005128724634728779,5
Rumyántsev,15,15,0.002414726205172362,6
Karatáev,3,15,0.0,21
Willarski,7,15,0.000271477552041016,13
Majesty,14,15,0.011346572807550859,18
Dessalles,8,15,0.0014241732122835871,7
Balashëv,10,14,0.00579429481094496,32
Prince Volkónski,12,14,0.0011655668172337614,4
Lorrain,7,14,0.00019726771326040288,8
Klyucharëv,12,14,0.0008443166307169575,5
Karágins,9,14,0.0005379026981464867,6
Langeron,10,14,0.0002758413100764701,10
Daniel Teréntich,9,14,0.0019976349434640403,16
Krásnoe,7,14,0.002287040771154177,12
Timókhin,8,14,0.0007509601350695854,23
Suvórovs,13,13,0.006656810413966536,3
Michael Ilariónovich,11,13,0.0009045768660537336,5
Marie,7,13,2.5726149769277215e-05,6
Danube,12,13,0.007713443925170473,10
Thy,11,13,0.0031878054981115274,7
Napoleon,11,13,0.0017846980819706095,8
Yaroslávl,8,13,0.0003778561547592769,10
Cyril Vladímirovich,9,13,0.0020844927096180968,7
Ermólov,8,12,0.0007056124852255782,16
Schmidt,9,12,0.0009965783543406735,8
Serene Highness,6,12,0.0015154472753657843,12
Prince Hippolyte,8,12,0.0033977692903374435,24
Lavrúshka,8,12,0.0015861086096864573,17
Dimmler,7,11,0.000774779660709635,8
Bedouin,8,11,0.00042191639201468194,5
Natásha,9,11,0.0027814325056356236,18
Drubetskóy,8,11,0.00045731931808895836,7
Mack,7,11,0.0003563069247753702,11
Don,10,11,0.00153251560977805,4
Papa,8,11,0.00374633736749715,10
Sergéy Kuzmích,7,11,2.032646767141623e-05,6
Kozlóvski,4,11,2.2156433287704133e-05,15
Monsieur Pierre,9,11,0.0035130100162542553,12
Countess Apráksina,10,10,0.003526474739761308,2
Ramballe,3,10,0.0014191988265842104,15
Louis XVI,9,10,0.001139693572034093,3
Hofkriegsrath,7,10,0.0005119998409004486,5
Granddad,7,10,0.00010434115924959872,3
Nicholas Bolkónski’s,9,10,0.0029266631291857787,3
Mary Alexéevna,7,10,0.0002966667509938876,2
Berëzina,5,10,3.162117125168851e-05,6
Count Ostermann-Tolstóy,10,10,0.003633784700588918,2
Prince Bagratión,5,10,0.0028374065925353313,13
Antichrist,10,10,0.002131652581127744,4
Goliath,8,9,0.0021035628148309516,4
Suvórov,8,9,0.0,2
Perónskaya,7,9,0.0015040998080664255,6
Moreau,8,9,0.0,2
Louis XV,9,9,0.001433083429831622,2
Louis XIV,8,9,0.0021668416623232896,4
Marquis Paulucci,6,9,2.331044684020839e-05,2
Louis XVIII,8,9,0.0021668416623232896,2
Markóv,9,9,0.0013229141823247177,3
Anna Pávlovna Schérer,8,9,0.0003773203014695939,4
Rostopchín,9,9,0.0029619555281635785,6
Leppich,8,8,0.0021904808364908213,4
Michael Kutúzov,8,8,2.477651582723831e-07,1
Joseph Alexéevich’s,6,8,8.409606270954096e-05,5
Prince Auersperg,8,8,0.0008577002439562654,2
Emperor,8,8,0.003128252753322204,2
Countess Bezúkhova,8,8,0.00468870050119238,7
Novosíltsev,8,8,0.00016945596105299115,2
Frederick,8,8,2.477651582723831e-07,1
Lannes,8,8,0.00034054837222585006,2
Orlóvs Germans,8,8,2.477651582723831e-07,1
Pahlen,8,8,2.477651582723831e-07,1
Hofs,8,8,2.477651582723831e-07,1
gallop,7,8,0.00041254964251895754,4
Besuhof,8,8,0.0002415114883631752,3
du feu,7,7,0.00011030287034565899,1
bush,7,7,0.003950037268657034,4
Bolkhovítinov,5,7,0.001860928484566303,9
Mais,7,7,0.000952215125126768,4
