raw_name,canonical_name
"('Pierre', 1484)","('Pierre', 1484)"
"('Prince Andrew', 752)","('Prince Andrew', 752)"
"('Nicholas', 565)","('Nicholas', 565)"
"('Mary', 532)","('Mary', 532)"
"('Kutúzov', 511)","('Kutúzov', 511)"
"('Rostóv', 336)","('Rostóv', 336)"
"('Sónya', 310)","('Sónya', 310)"
"('Denísov', 304)","('Denísov', 304)"
"('Dólokhov', 247)","('Dólokhov', 247)"
"('Pétya', 185)","('Pétya', 185)"
"('Borís', 182)","('Borís', 182)"
"('Andrew', 181)","('Andrew', 181)"
"('Anna Pávlovna', 127)","('Anna Pávlovna', 127)"
"('Mademoiselle Bourienne', 111)","('Mademoiselle Bourienne', 111)"
"('Anna Mikháylovna', 110)","('Anna Mikháylovna', 110)"
"('Berg', 96)","('Berg', 96)"
"('Márya Dmítrievna', 85)","('Márya Dmítrievna', 85)"
"('Bennigsen', 71)","('Bennigsen', 71)"
"('Alexander', 66)","('Alexander', 66)"
"('Speránski', 66)","('Speránski', 66)"
"('Bilíbin', 63)","('Bilíbin', 63)"
"('Julie', 55)","('Julie', 55)"
"('Vasíli', 54)","('Vasíli', 54)"
"('Mamma', 50)","('Mamma', 50)"
"('Dron', 50)","('Dron', 50)"
"('Bonaparte', 46)","('Bonaparte', 46)"
"('Bezúkhov', 45)","('Bezúkhov', 45)"
"('Princess Mary', 43)","('Princess Mary', 43)"
"('Arakchéev', 43)","('Arakchéev', 43)"
"('Pfuel', 43)","('Pfuel', 43)"
"('Petersburg', 42)","('Petersburg', 42)"
"('Prince Andrew’s', 42)","('Prince Andrew’s', 42)"
"('Nesvítski', 41)","('Nesvítski', 41)"
"('Hélène', 39)","('Hélène', 39)"
"('Dolgorúkov', 39)","('Dolgorúkov', 39)"
"('Bolkónski', 37)","('Bolkónski', 37)"
"('Balashëv', 37)","('Balashëv', 37)"
"('Tsar', 36)","('Tsar', 36)"
"('Borodinó', 36)","('Borodinó', 36)"
"('Ilyín', 35)","('Ilyín', 35)"
"('Countess Mary', 29)","('Countess Mary', 29)"
"('Uncle', 28)","('Uncle', 28)"
"('Michael Ivánovich', 27)","('Michael Ivánovich', 27)"
"('Lise', 25)","('Lise', 25)"
"('Prince Hippolyte', 25)","('Prince Hippolyte', 25)"
"('Timókhin', 25)","('Timókhin', 25)"
"('Dokhtúrov', 25)","('Dokhtúrov', 25)"
"('wolf', 24)","('wolf', 24)"
"('Karatáev', 23)","('Karatáev', 23)"
"('Véra', 22)","('Véra', 22)"
"('Ilyá Rostóv', 22)","('Ilyá Rostóv', 22)"
"('Buonaparte', 21)","('Buonaparte', 21)"
"('Anna Pávlovna’s', 21)","('Anna Pávlovna’s', 21)"
"('Wolzogen', 21)","('Wolzogen', 21)"
"('Nicholas Rostóv', 20)","('Nicholas Rostóv', 20)"
"('Prince Bolkónski', 20)","('Prince Bolkónski', 20)"
"('Drissa', 20)","('Drissa', 20)"
"('Prince Vasíli', 19)","('Prince Vasíli', 19)"
"('Raévski', 19)","('Raévski', 19)"
"('Majesty', 18)","('Majesty', 18)"
"('Natásha', 18)","('Natásha', 18)"
"('Willarski', 18)","('Willarski', 18)"
"('Daniel', 18)","('Daniel', 18)"
"('Ramballe', 18)","('Ramballe', 18)"
"('Kozlóvski', 17)","('Kozlóvski', 17)"
"('Lavrúshka', 17)","('Lavrúshka', 17)"
"('Thy', 17)","('Thy', 17)"
"('Ermólov', 17)","('Ermólov', 17)"
"('Konovnítsyn', 17)","('Konovnítsyn', 17)"
"('Nicholas Bolkónski', 16)","('Nicholas Bolkónski', 16)"
"('Karáy', 16)","('Karáy', 16)"
"('Mary Hendríkhovna', 16)","('Mary Hendríkhovna', 16)"
"('Danube', 15)","('Danube', 15)"
"('Michaud', 15)","('Michaud', 15)"
"('mon cher', 14)","('mon cher', 14)"
"('Bagratión', 14)","('Bagratión', 14)"
"('Joseph Alexéevich', 14)","('Joseph Alexéevich', 14)"
"('Platón', 14)","('Platón', 14)"
"('Anatole Kurágin', 13)","('Anatole Kurágin', 13)"
"('Kurágin', 13)","('Kurágin', 13)"
"('Francis', 13)","('Francis', 13)"
"('Buxhöwden', 13)","('Buxhöwden', 13)"
